Component colors/Components/Buttons/Secondary error/button-secondary-error-border_hover	#fda29b	#b42318
Component colors/Components/Buttons/Secondary error/button-secondary-error-fg	#b42318	#fecdca
Component colors/Components/Buttons/Secondary error/button-secondary-error-fg_hover	#912018	#fee4e2
Component colors/Components/Buttons/Secondary/button-secondary-bg	#ffffff	#161b26
Component colors/Components/Buttons/Secondary/button-secondary-bg_hover	#f9fafb	#1f242f
Component colors/Components/Buttons/Secondary/button-secondary-border	#d0d5dd	#333741
Component colors/Components/Buttons/Secondary/button-secondary-border_hover	#d0d5dd	#333741
Component colors/Components/Buttons/Secondary/button-secondary-fg	#344054	#cecfd2
Component colors/Components/Buttons/Secondary/button-secondary-fg_hover	#182230	#f0f1f1
Component colors/Components/Buttons/Tertiary color/button-tertiary-color-bg_hover	#f9f5ff	#1f242f
Component colors/Components/Buttons/Tertiary color/button-tertiary-color-fg	#6941c6	#cecfd2
Component colors/Components/Buttons/Tertiary color/button-tertiary-color-fg_hover	#53389e	#f0f1f1
Component colors/Components/Buttons/Tertiary error/button-tertiary-error-bg_hover	#fef3f2	#7a271a
Component colors/Components/Buttons/Tertiary error/button-tertiary-error-fg	#b42318	#fda29b
Component colors/Components/Buttons/Tertiary error/button-tertiary-error-fg_hover	#912018	#fecdca
Component colors/Components/Buttons/Tertiary/button-tertiary-bg_hover	#f9fafb	#1f242f
Component colors/Components/Buttons/Tertiary/button-tertiary-fg	#475467	#94969c
Component colors/Components/Buttons/Tertiary/button-tertiary-fg_hover	#344054	#ececed
Component colors/Components/Footers/footer-badge-bg	#ecfdf3	rgba(255, 255, 255, 0.10000000149011612)
Component colors/Components/Footers/footer-badge-border	#abefc6	rgba(255, 255, 255, 0.30000001192092896)
Component colors/Components/Footers/footer-badge-fg	#067647	#ffffff
Component colors/Components/Footers/footer-button-fg	#e9d7fe	#cecfd2
Component colors/Components/Footers/footer-button-fg_hover	#ffffff	#f0f1f1
Component colors/Components/Header sections/header-abstract-100-bg	#f4ebff	#1f242f
Component colors/Components/Header sections/header-abstract-200-bg	#e9d7fe	#333741
Component colors/Components/Header sections/header-abstract-300-bg	#d6bbfb	#61646c
Component colors/Components/Header sections/header-abstract-50-bg	#f9f5ff	#161b26
Component colors/Components/Icons/Featured icons/Dark/featured-icon-dark-fg-brand	#ffffff	#e9d7fe
Component colors/Components/Icons/Featured icons/Dark/featured-icon-dark-fg-error	#ffffff	#fecdca
Component colors/Components/Icons/Featured icons/Dark/featured-icon-dark-fg-gray	#ffffff	#ececed
Component colors/Components/Icons/Featured icons/Dark/featured-icon-dark-fg-success	#ffffff	#abefc6
Component colors/Components/Icons/Featured icons/Dark/featured-icon-dark-fg-warning	#ffffff	#fedf89
Component colors/Components/Icons/Featured icons/Light/featured-icon-light-fg-brand	#7f56d9	#e9d7fe
Component colors/Components/Icons/Featured icons/Light/featured-icon-light-fg-error	#d92d20	#fecdca
Component colors/Components/Icons/Featured icons/Light/featured-icon-light-fg-gray	#667085	#ececed
Component colors/Components/Icons/Featured icons/Light/featured-icon-light-fg-success	#079455	#abefc6
Component colors/Components/Icons/Featured icons/Light/featured-icon-light-fg-warning	#dc6803	#fedf89
Component colors/Components/Icons/Featured icons/Modern/featured-icon-modern-border	#eaecf0	#333741
Component colors/Components/Icons/Icons/icon-fg-brand	#7f56d9	#94969c
Component colors/Components/Icons/Icons/icon-fg-brand_on-brand	#e9d7fe	#94969c
Component colors/Components/Icons/Social icons/social-icon-fg-angellist	#000000	#ffffff
Component colors/Components/Icons/Social icons/social-icon-fg-apple	#000000	#ffffff
Component colors/Components/Icons/Social icons/social-icon-fg-github	#000000	#ffffff
Component colors/Components/Icons/Social icons/social-icon-fg-instagram	#000100	#ffffff
Component colors/Components/Icons/Social icons/social-icon-fg-tumblr	#001935	#ffffff
Component colors/Components/Icons/Social icons/social-icon-fg-x	#242e36	#ffffff
Component colors/Components/Mockups/screen-mockup-border	#101828	#333741
Component colors/Components/Sliders/slider-handle-bg	#ffffff	#9e77ed
Component colors/Components/Sliders/slider-handle-border	#7f56d9	#0c111d
Component colors/Components/Thumbnail/thumbnail-badge-brand-fg	#6941c6	#cecfd2
Component colors/Components/Thumbnail/thumbnail-badge-success-fg	#067647	#cecfd2
Component colors/Components/Toggles/toggle-button-fg_disabled	#f9fafb	#61646c
Component colors/Components/Tooltips/tooltip-supporting-text	#d0d5dd	#cecfd2
Component colors/Components/WYSIWYG editor/wysiwyg-editor-icon-fg	#98a2b3	#94969c
Component colors/Components/WYSIWYG editor/wysiwyg-editor-icon-fg_active	#667085	#ffffff
Component colors/Utility/Blue dark/utility-blue-dark-100	#d1e0ff	#00359e
Component colors/Utility/Blue dark/utility-blue-dark-200	#b2ccff	#0040c1
Component colors/Utility/Blue dark/utility-blue-dark-300	#84adff	#004eeb
Component colors/Utility/Blue dark/utility-blue-dark-400	#528bff	#155eef
Component colors/Utility/Blue dark/utility-blue-dark-50	#eff4ff	#002266
Component colors/Utility/Blue dark/utility-blue-dark-500	#2970ff	#2970ff
Component colors/Utility/Blue dark/utility-blue-dark-600	#155eef	#528bff
Component colors/Utility/Blue dark/utility-blue-dark-700	#004eeb	#84adff
Component colors/Utility/Blue light/utility-blue-light-100	#e0f2fe	#0b4a6f
Component colors/Utility/Blue light/utility-blue-light-200	#b9e6fe	#065986
Component colors/Utility/Blue light/utility-blue-light-300	#7cd4fd	#026aa2
Component colors/Utility/Blue light/utility-blue-light-400	#36bffa	#0086c9
