Blue dark/100	SOLID
Blue dark/200	SOLID
Blue dark/300	SOLID
Blue dark/400	SOLID
Blue dark/500	SOLID
Blue dark/600	SOLID
Blue dark/700	SOLID
Blue dark/800	SOLID
Blue dark/900	SOLID
Blue dark/950	SOLID
Indigo/25	SOLID
Indigo/50	SOLID
Indigo/100	SOLID
Indigo/200	SOLID
Indigo/300	SOLID
Indigo/400	SOLID
Indigo/500	SOLID
Indigo/600	SOLID
Indigo/700	SOLID
Indigo/800	SOLID
Indigo/900	SOLID
Indigo/950	SOLID
Violet/25	SOLID
Violet/50	SOLID
Violet/100	SOLID
Violet/200	SOLID
Violet/300	SOLID
Violet/400	SOLID
Violet/500	SOLID
Violet/600	SOLID
Violet/700	SOLID
Violet/800	SOLID
Violet/900	SOLID
Violet/950	SOLID
Purple/25	SOLID
Purple/50	SOLID
Purple/100	SOLID
Purple/200	SOLID
Purple/300	SOLID
Purple/400	SOLID
Purple/500	SOLID
Purple/600	SOLID
Purple/700	SOLID
Purple/800	SOLID
Purple/900	SOLID
Purple/950	SOLID
Fuchsia/25	SOLID
Fuchsia/50	SOLID
Fuchsia/100	SOLID
Fuchsia/200	SOLID
Fuchsia/300	SOLID
Fuchsia/400	SOLID
Fuchsia/500	SOLID
Fuchsia/600	SOLID
Fuchsia/700	SOLID
Fuchsia/800	SOLID
Fuchsia/900	SOLID
Fuchsia/950	SOLID
Pink/25	SOLID
Pink/50	SOLID
Pink/100	SOLID
Pink/200	SOLID
Pink/300	SOLID
Pink/400	SOLID
Pink/500	SOLID
Pink/600	SOLID
Pink/700	SOLID
Pink/800	SOLID
Pink/900	SOLID
Pink/950	SOLID
Rosé/25	SOLID
Rosé/50	SOLID
Rosé/100	SOLID
Rosé/200	SOLID
Rosé/300	SOLID
Rosé/400	SOLID
Rosé/500	SOLID
Rosé/600	SOLID
Rosé/700	SOLID
Rosé/800	SOLID
Rosé/900	SOLID
Rosé/950	SOLID
Orange dark/25	SOLID
Orange dark/50	SOLID
Orange dark/100	SOLID
Orange dark/200	SOLID
Orange dark/300	SOLID
Orange dark/400	SOLID
Orange dark/500	SOLID
Orange dark/600	SOLID
Orange dark/700	SOLID
Orange dark/800	SOLID
Orange dark/900	SOLID
Orange dark/950	SOLID
Orange/25	SOLID
Orange/50	SOLID
Orange/100	SOLID
Orange/200	SOLID
Orange/300	SOLID
Orange/400	SOLID
Orange/500	SOLID
Orange/600	SOLID
Orange/700	SOLID
Orange/800	SOLID
Orange/900	SOLID
Orange/950	SOLID
Yellow/25	SOLID
Yellow/50	SOLID
Yellow/100	SOLID
Yellow/200	SOLID
Yellow/300	SOLID
Yellow/400	SOLID
Yellow/500	SOLID
Yellow/600	SOLID
Yellow/700	SOLID
Yellow/800	SOLID
Yellow/900	SOLID
Yellow/950	SOLID
Gradient/Gray/600 -> 500 (90deg)	GRADIENT_LINEAR
Gradient/Gray/700 -> 600 (45deg)	GRADIENT_LINEAR
Gradient/Gray/800 -> 600 (45deg)	GRADIENT_LINEAR
Gradient/Gray/800 -> 600 (90deg)	GRADIENT_LINEAR
Gradient/Gray/800 -> 700 (26.5deg)	GRADIENT_LINEAR
Gradient/Gray/900 -> 600 (45deg)	GRADIENT_LINEAR
Gradient/Brand/600 -> 500 (90deg)	GRADIENT_LINEAR
Gradient/Brand/700 -> 600 (45deg)	GRADIENT_LINEAR
Gradient/Brand/800 -> 600 (45deg)	GRADIENT_LINEAR
Gradient/Brand/800 -> 600 (90deg)	GRADIENT_LINEAR
Gradient/Brand/800 -> 700 (26.5deg)	GRADIENT_LINEAR
Gradient/Brand/900 -> 600 (45deg)	GRADIENT_LINEAR
Avatar user square/Olivia Rhye	IMAGE
Avatar user portrait/Alisa Hester	IMAGE
Avatar user portrait/Rich Wilson	IMAGE
Avatar user portrait/Annie Stanley	IMAGE
Avatar user portrait/Johnny Bell	IMAGE
Avatar user portrait/Mia Ward	IMAGE
Avatar user portrait/Archie Young	IMAGE
Avatar user portrait/Amanda Carr	IMAGE
Avatar user portrait/Megan Sims	IMAGE
Avatar user portrait/Ryan Fox	IMAGE
Avatar user portrait/Mason Phillips	IMAGE
Avatar user portrait/Zoe Silva	IMAGE
Avatar user portrait/Annie Simmons	IMAGE
Avatar user portrait/Harley White	IMAGE
Avatar user portrait/Amelie Cooper	IMAGE
Avatar user portrait/Evelyn Harrison	IMAGE
Avatar user portrait/Abby Smith	IMAGE
Avatar user portrait/Isla Anderson	IMAGE
Avatar user portrait/Alex Holland	IMAGE
Avatar user portrait/Zachary Collins	IMAGE
Avatar user portrait/Nic Davidson	IMAGE
Avatar user portrait/Josh Knight	IMAGE
Avatar user portrait/Kelly Myer	IMAGE
Avatar user portrait/Laura Palmer	IMAGE
Avatar user portrait/Mollie Morgan	IMAGE
Avatar user portrait/Heather Kelly	IMAGE
Avatar user portrait/James Dunn	IMAGE
Avatar user portrait/Elijah Johnson	IMAGE
Avatar user portrait/Sara Woodman	IMAGE
Avatar company logo/Layers	IMAGE
Avatar company logo/Sisyphus	IMAGE
Avatar company logo/Capsule	IMAGE
Avatar company logo/Catalog	IMAGE
Avatar user square/Olivia Rhye (color background)	SOLID
Avatar user square/Olivia Rhye (neutral background)	SOLID
Avatar user square/Phoenix Baker	IMAGE
Avatar user square/Phoenix Baker (color background)	SOLID
Avatar user square/Phoenix Baker (neutral background)	SOLID
Avatar user square/Lana Steiner	IMAGE
Avatar user square/Lana Steiner (color background)	SOLID
Avatar user square/Lana Steiner (neutral background)	SOLID
Avatar user square/Demi Wilkinson	IMAGE
Avatar user square/Demi Wilkinson (color background)	SOLID
Avatar user square/Demi Wilkinson (neutral background)	SOLID
Avatar user square/Candice Wu	IMAGE
Avatar user square/Candice Wu (color background)	SOLID
Avatar user square/Candice Wu (neutral background)	SOLID
Avatar user square/Natali Craig	IMAGE
Avatar user square/Natali Craig (color background)	SOLID
Avatar user square/Natali Craig (neutral background)	SOLID
Avatar user square/Drew Cano	IMAGE
Avatar user square/Drew Cano (color background)	SOLID
Avatar user square/Drew Cano (neutral background)	SOLID
Avatar user square/Orlando Diggs	IMAGE
Avatar user square/Orlando Diggs (color background)	SOLID
Avatar user square/Orlando Diggs (neutral background)	SOLID
Avatar user square/Andi Lane	IMAGE
Avatar user square/Andi Lane (color background)	SOLID
Avatar user square/Andi Lane (neutral background)	SOLID
Avatar user square/Kate Morrison	IMAGE
Avatar user square/Kate Morrison (color background)	SOLID
Avatar user square/Kate Morrison (neutral background)	SOLID
Avatar user square/Koray Okumus	IMAGE
Avatar user square/Koray Okumus (color background)	SOLID
Avatar user square/Koray Okumus (neutral background)	SOLID
Avatar user square/Ava Wright	IMAGE
Avatar user square/Ava Wright (color background)	SOLID
Avatar user square/Ava Wright (neutral background)	SOLID
Avatar user square/Eve Leroy	IMAGE
Avatar user square/Eve Leroy (color background)	SOLID
Avatar user square/Eve Leroy (neutral background)	SOLID
Avatar user square/Zahir Mays	IMAGE
Avatar user square/Zahir Mays (color background)	SOLID
Avatar user square/Zahir Mays (neutral background)	SOLID
Avatar user square/Joshua Wilson	IMAGE
Avatar user square/Joshua Wilson (color background)	SOLID
Avatar user square/Joshua Wilson (neutral background)	SOLID
Avatar user square/Rene Wells	IMAGE
Avatar user square/Rene Wells (color background)	SOLID
Avatar user square/Rene Wells (neutral background)	SOLID
Avatar user square/Lori Bryson	IMAGE
Avatar user square/Lori Bryson (color background)	SOLID
Avatar user square/Lori Bryson (neutral background)	SOLID
Avatar user square/Anaiah Whitten	IMAGE
Avatar user square/Anaiah Whitten (color background)	SOLID
Avatar user square/Anaiah Whitten (neutral background)	SOLID
Avatar user square/Noah Pierre	IMAGE
Avatar user square/Noah Pierre (color background)	SOLID
Avatar user square/Noah Pierre (neutral background)	SOLID
Avatar user square/Katherine Moss	IMAGE
Avatar user square/Katherine Moss (color background)	SOLID
Avatar user square/Katherine Moss (neutral background)	SOLID
Avatar user square/Mollie Hall	IMAGE
Avatar user square/Mollie Hall (color background)	SOLID
Avatar user square/Mollie Hall (neutral background)	SOLID
Avatar user square/Eduard Franz	IMAGE
Avatar user square/Eduard Franze (color background)	SOLID
Avatar user square/Eduard Franz (neutral background)	SOLID
Avatar user square/Alec Whitten	IMAGE
Avatar user square/Alec Whitten (color background)	SOLID
Avatar user square/Alec Whitten (neutral background)	SOLID
