Component colors/Utility/Orange dark/utility-orange-dark-500	#ff4405	#ff4405
Component colors/Utility/Orange dark/utility-orange-dark-600	#e62e05	#ff692e
Component colors/Utility/Orange dark/utility-orange-dark-700	#bc1b06	#ff9c66
Component colors/Utility/Orange/utility-orange-100	#fdead7	#772917
Component colors/Utility/Orange/utility-orange-200	#f9dbaf	#932f19
Component colors/Utility/Orange/utility-orange-300	#f7b27a	#b93815
Component colors/Utility/Orange/utility-orange-400	#f38744	#e04f16
Component colors/Utility/Orange/utility-orange-50	#fef6ee	#511c10
Component colors/Utility/Orange/utility-orange-500	#ef6820	#ef6820
Component colors/Utility/Orange/utility-orange-600	#e04f16	#f38744
Component colors/Utility/Orange/utility-orange-700	#b93815	#f7b27a
Component colors/Utility/Pink/utility-pink-100	#fce7f6	#851651
Component colors/Utility/Pink/utility-pink-200	#fcceee	#9e165f
Component colors/Utility/Pink/utility-pink-300	#faa7e0	#c11574
Component colors/Utility/Pink/utility-pink-400	#f670c7	#dd2590
Component colors/Utility/Pink/utility-pink-50	#fdf2fa	#4e0d30
Component colors/Utility/Pink/utility-pink-500	#ee46bc	#ee46bc
Component colors/Utility/Pink/utility-pink-600	#dd2590	#f670c7
Component colors/Utility/Pink/utility-pink-700	#c11574	#faa7e0
Component colors/Utility/Purple/utility-purple-100	#ebe9fe	#3e1c96
Component colors/Utility/Purple/utility-purple-200	#d9d6fe	#4a1fb8
Component colors/Utility/Purple/utility-purple-300	#bdb4fe	#5925dc
Component colors/Utility/Purple/utility-purple-400	#9b8afb	#6938ef
Component colors/Utility/Purple/utility-purple-50	#f4f3ff	#27115f
Component colors/Utility/Purple/utility-purple-500	#7a5af8	#7a5af8
Component colors/Utility/Purple/utility-purple-600	#6938ef	#9b8afb
Component colors/Utility/Purple/utility-purple-700	#5925dc	#bdb4fe
Component colors/Utility/Success/utility-success-100	#dcfae6	#074d31
Component colors/Utility/Success/utility-success-200	#abefc6	#085d3a
Component colors/Utility/Success/utility-success-300	#75e0a7	#067647
Component colors/Utility/Success/utility-success-400	#47cd89	#079455
Component colors/Utility/Success/utility-success-50	#ecfdf3	#053321
Component colors/Utility/Success/utility-success-500	#17b26a	#17b26a
Component colors/Utility/Success/utility-success-600	#079455	#47cd89
Component colors/Utility/Success/utility-success-700	#067647	#75e0a7
Component colors/Utility/Warning/utility-warning-100	#fef0c7	#7a2e0e
Component colors/Utility/Warning/utility-warning-200	#fedf89	#93370d
Component colors/Utility/Warning/utility-warning-300	#fec84b	#b54708
Component colors/Utility/Warning/utility-warning-400	#fdb022	#dc6803
Component colors/Utility/Warning/utility-warning-50	#fffaeb	#4e1d09
Component colors/Utility/Warning/utility-warning-500	#f79009	#f79009
Component colors/Utility/Warning/utility-warning-600	#dc6803	#fdb022
Component colors/Utility/Warning/utility-warning-700	#b54708	#fec84b
